ID azienda,Area of Activity,EMTAK Code,NACE Code,Source
761,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Electronic submission\n                                    (16.05.2022)\n                                    
763,Activities of sports clubs,93121 (EMTAK 2008),93.12,Annual report\n                                    (28.06.2022)\n                                    
765,Combined facilities support activities,81101 (EMTAK 2008),81.10,Annual report\n                                    (21.06.2022)\n                                    
766,Other software publishing,58291 (EMTAK 2008),58.29,Electronic submission\n                                    (25.09.2020)\n                                    
767,"Other retail sale not in stores, stalls or markets",4799 (EMTAK 2008),47.99,Annual report\n                                    (30.06.2022)\n                                    
768,Hotels,55101 (EMTAK 2008),55.10,Annual report\n                                    (12.04.2018)\n                                    
770,Other manufacturing n.e.c.,32991 (EMTAK 2008),32.99,Electronic submission\n                                    (28.01.2022)\n                                    
771,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report\n                                    (12.10.2021)\n                                    
772,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission\n                                    (11.10.2021)\n                                    
773,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report\n                                    (04.03.2022)\n                                    
774,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission\n                                    (11.11.2019)\n                                    
779,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (19.05.2022)\n                                    
780,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission\n                                    (11.01.2022)\n                                    
782,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Annual report\n                                    (04.07.2022)\n                                    
783,Specialised design activities,74101 (EMTAK 2008),74.10,Electronic submission\n                                    (06.09.2021)\n                                    
784,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (22.12.2021)\n                                    
786,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (21.05.2022)\n                                    
787,Other specialised construction activities,43999 (EMTAK 2008),43.99,Annual report\n                                    (18.06.2022)\n                                    
788,Other research and experimental development on natural sciences and engineering,72191 (EMTAK 2008),72.19,Annual report\n                                    (27.12.2021)\n                                    
790,Travel agency activities,79111 (EMTAK 2008),79.11,Electronic submission\n                                    (28.01.2019)\n                                    
791,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (24.09.2021)\n                                    
793,Youth and children associations and associations that promote the welfare of youth and children,94993 (EMTAK 2008),94.99,Electronic submission\n                                    (01.01.2022)\n                                    
794,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Electronic submission\n                                    (19.10.2016)\n                                    
796,Repair of machinery,33121 (EMTAK 2008),33.12,Annual report\n                                    (27.06.2022)\n                                    
797,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission\n                                    (04.03.2022)\n                                    
798,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (07.06.2021)\n                                    
799,Wholesale of other intermediate products,46761 (EMTAK 2008),46.76,Annual report\n                                    (30.06.2022)\n                                    
800,Freight transport by road,4941 (EMTAK 2008),49.41,Annual report\n                                    (29.06.2022)\n                                    
801,Maintenance and repair of motor vehicles,45201 (EMTAK 2008),45.20,Annual report\n                                    (23.06.2022)\n                                    
802,Web portals,63121 (EMTAK 2008),63.12,Annual report\n                                    (09.03.2022)\n                                    
804,Floor and wall covering,43331 (EMTAK 2008),43.33,Annual report\n                                    (28.06.2022)\n                                    
805,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (04.02.2022)\n                                    
806,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report\n                                    (29.06.2022)\n                                    
807,"Retail sale of computers, peripheral units and software in specialised stores",47411 (EMTAK 2008),47.41,Electronic submission\n                                    (31.12.2021)\n                                    
808,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report\n                                    (15.06.2022)\n                                    
809,"Other retail sale not in stores, stalls or markets",4799 (EMTAK 2008),47.99,Annual report\n                                    (09.12.2020)\n                                    
810,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (01.08.2022)\n                                    
814,Other cleaning activities of buildings and industrial cleaning,81221 (EMTAK 2008),81.22,Electronic submission\n                                    (19.11.2017)\n                                    
815,"Wholesale of other general-purpose and special-purpose machinery, apparatus and equipment",46699 (EMTAK 2008),46.69,Electronic submission\n                                    (20.01.2021)\n                                    
816,Repair of furniture and home furnishings,95241 (EMTAK 2008),95.24,Statistics Estonia\n                                    (01.11.2021)\n                                    
818,"Ethnic minorities organisations and cultural societies, associations for the purpose of integrityand friendship between nations",94994 (EMTAK 2008),94.99,Annual report\n                                    (06.08.2021)\n                                    
819,Car washing and other services,45202 (EMTAK 2008),45.20,Annual report\n                                    (27.07.2021)\n                                    
821,Hotels,55101 (EMTAK 2008),55.10,Electronic submission\n                                    (26.10.2022)\n                                    
822,"Activities of churches, congregations and monasteries",94911 (EMTAK 2008),94.91,Annual report\n                                    (28.03.2022)\n                                    
823,Manufacture of beer,11051 (EMTAK 2008),11.05,Statistics Estonia\n                                    (01.11.2021)\n                                    
824,"Other credit granting, except pawn shops",64929 (EMTAK 2008),64.92,Annual report\n                                    (17.08.2009)\n                                    
825,Protection and custody of civil rights; special group protection activities,94991 (EMTAK 2008),94.99,Electronic submission\n                                    (16.03.2022)\n                                    
827,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report\n                                    (29.06.2022)\n                                    
829,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report\n                                    (19.03.2022)\n                                    
830,Manufacture of other transport equipment n.e.c.,30991 (EMTAK 2008),30.99,Annual report\n                                    (08.06.2018)\n                                    
832,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (01.07.2014)\n                                    
838,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Annual report\n                                    (25.06.2022)\n                                    
839,Taxi operation,49321 (EMTAK 2008),49.32,Electronic submission\n                                    (07.02.2014)\n                                    
841,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission\n                                    (03.12.2021)\n                                    
842,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report\n                                    (06.10.2022)\n                                    
843,Other service activities,96099 (EMTAK 2008),96.09,Electronic submission\n                                    (04.07.2021)\n                                    
844,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report\n                                    (24.03.2022)\n                                    
845,Travel agency activities,79111 (EMTAK 2008),79.11,Annual report\n                                    (14.06.2022)\n                                    
846,Logging,02201 (EMTAK 2008),02.20,Field of activity code data encoding by RIK\n                                    (11.12.1998)\n                                    
847,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission\n                                    (13.06.2022)\n                                    
849,Retail sale of furniture and articles for lighting,47591 (EMTAK 2008),47.59,Electronic submission\n                                    (25.05.2021)\n                                    
850,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (22.12.2021)\n                                    
851,Wholesale of equipment used in food industry and commercial activities,46693 (EMTAK 2008),46.69,Annual report\n                                    (29.06.2022)\n                                    
853,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report\n                                    (29.06.2022)\n                                    
854,Other passenger land transport,49399 (EMTAK 2008),49.39,Electronic submission\n                                    (16.08.2021)\n                                    
857,Translation and interpretation activities,74301 (EMTAK 2008),74.30,Annual report\n                                    (29.06.2021)\n                                    
858,Other information service activities n.e.c.,63991 (EMTAK 2008),63.99,Electronic submission\n                                    (07.09.2021)\n                                    
860,Media representation,73121 (EMTAK 2008),73.12,Annual report\n                                    (29.06.2022)\n                                    
866,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (13.12.2021)\n                                    
867,"Activities of churches, congregations and monasteries",94911 (EMTAK 2008),94.91,Annual report\n                                    (04.05.2022)\n                                    
868,Hairdressing and other beauty treatment,9602 (EMTAK 2008),96.02,Annual report\n                                    (09.06.2020)\n                                    
869,Car washing and other services,45202 (EMTAK 2008),45.20,Annual report\n                                    (10.07.2022)\n                                    
871,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (18.03.2022)\n                                    
873,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report\n                                    (20.06.2022)\n                                    
874,Retail sale of cosmetic and toilet articles in specialised stores,47751 (EMTAK 2008),47.75,Electronic submission\n                                    (15.08.2021)\n                                    
875,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (29.06.2021)\n                                    
876,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission\n                                    (01.07.2021)\n                                    
877,Forwarding agencies services,52291 (EMTAK 2008),52.29,Electronic submission\n                                    (09.05.2018)\n                                    
878,Other healthcare activities not classified elsewhere,86909 (EMTAK 2008),86.90,Electronic submission\n                                    (02.12.2021)\n                                    
879,Other healthcare activities not classified elsewhere,86909 (EMTAK 2008),86.90,Annual report\n                                    (05.06.2022)\n                                    
880,Hotels,55101 (EMTAK 2008),55.10,Annual report\n                                    (17.06.2022)\n                                    
882,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report\n                                    (11.10.2018)\n                                    
884,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report\n                                    (27.06.2022)\n                                    
885,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report\n                                    (22.09.2022)\n                                    
886,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (27.04.2020)\n                                    
889,Retail sale of cosmetic and toilet articles in specialised stores,47751 (EMTAK 2008),47.75,Annual report\n                                    (16.06.2010)\n                                    
891,Other social work activities without accommodation n.e.c.,88991 (EMTAK 2008),88.99,Annual report\n                                    (15.06.2022)\n                                    
892,Credit institutions (banks),64191 (EMTAK 2008),64.19,Annual report\n                                    (31.05.2022)\n                                    
893,Fund management activities,66301 (EMTAK 2008),66.30,Annual report\n                                    (31.05.2022)\n                                    
895,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Annual report\n                                    (22.06.2022)\n                                    
897,Other amusement and recreation activities,9329 (EMTAK 2008),93.29,Electronic submission\n                                    (03.10.2022)\n                                    
899,Silviculture and other forestry activities,02101 (EMTAK 2008),02.10,The undertaking notified himself/herself\n                                    (06.02.2009)\n                                    
902,Other sports and recreational education,85519 (EMTAK 2008),85.51,Annual report\n                                    (29.06.2022)\n                                    
903,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report\n                                    (25.05.2020)\n                                    
904,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,Annual report\n                                    (25.01.2022)\n                                    
905,Sale of cars and light motor vehicles,45111 (EMTAK 2008),45.11,Electronic submission\n                                    (07.11.2014)\n                                    
906,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission\n                                    (07.11.2009)\n                                    
909,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission\n                                    (31.08.2022)\n                                    
910,"Management of buildings and rental houses (apartment associations, housing associations, building associations etc)",68321 (EMTAK 2008),68.32,Annual report\n                                    (19.06.2022)\n                                    
911,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Annual report\n                                    (03.09.2017)\n                                    
914,Car washing and other services,45202 (EMTAK 2008),45.20,Annual report\n                                    (18.07.2022)\n                                    
915,Manufacture of optical instruments and photographic equipment \xc2\xa0,26701 (EMTAK 2008),26.70,Electronic submission\n                                    (19.12.2019)\n                                    
916,Motion picture and video production,59111 (EMTAK 2008),59.11,Annual report\n                                    (18.04.2022)\n                                    
917,Telecommunication services in fixed communications network,61101 (EMTAK 2008),61.10,Electronic submission\n                                    (29.03.2021)\n                                    
918,Financial consulting,66191 (EMTAK 2008),66.19,Annual report\n                                    (21.07.2022)\n                                    
919,Holiday village and camp,55203 (EMTAK 2008),55.20,Annual report\n                                    (01.07.2022)\n                                    
920,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Annual report\n                                    (07.04.2022)\n                                    
921,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report\n                                    (06.01.2021)\n                                    
922,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (24.08.2022)\n                                    
923,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (05.11.2020)\n                                    
925,Engineering activities and related technical consultancy,7112 (EMTAK 2008),71.12,Annual report\n                                    (26.01.2020)\n                                    
926,Insulation work activities,43291 (EMTAK 2008),43.29,Annual report\n                                    (10.06.2021)\n                                    
928,Artistic creation,90031 (EMTAK 2008),90.03,Electronic submission\n                                    (16.10.2022)\n                                    
930,"Other professional, scientific and technical activities n.e.c.",74901 (EMTAK 2008),74.90,Electronic submission\n                                    (20.09.2021)\n                                    
931,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Annual report\n                                    (12.04.2022)\n                                    
932,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Electronic submission\n                                    (16.12.2021)\n                                    
933,Constructional engineering-technical designing and consulting,71121 (EMTAK 2008),71.12,Annual report\n                                    (02.03.2022)\n                                    
934,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Electronic submission\n                                    (14.03.2012)\n                                    
935,"Retail sale via stalls and markets of food, beverages and tobacco products",47811 (EMTAK 2008),47.81,Annual report\n                                    (30.06.2022)\n                                    
936,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report\n                                    (29.06.2021)\n                                    
938,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Electronic submission\n                                    (30.01.2020)\n                                    
939,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission\n                                    (22.04.2022)\n                                    
940,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Electronic submission\n                                    (09.04.2019)\n                                    
941,"Wholesale of furniture, carpets and lighting equipment",46471 (EMTAK 2008),46.47,Electronic submission\n                                    (28.10.2021)\n                                    
942,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (01.12.2021)\n                                    
943,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Annual report\n                                    (18.10.2022)\n                                    
944,Other software publishing,58291 (EMTAK 2008),58.29,Annual report\n                                    (28.06.2018)\n                                    
947,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (27.10.2021)\n                                    
948,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (16.04.2018)\n                                    
949,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission\n                                    (06.10.2021)\n                                    
950,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (17.08.2021)\n                                    
951,Renting of rail vehicles,77391 (EMTAK 2008),77.39,Annual report\n                                    (24.06.2022)\n                                    
952,Other retail sale in non-specialised stores,47191 (EMTAK 2008),47.19,Annual report\n                                    (02.12.2008)\n                                    
953,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission\n                                    (04.08.2022)\n                                    
954,Renting of rail vehicles,77391 (EMTAK 2008),77.39,Annual report\n                                    (24.06.2022)\n                                    
955,Activities of holding companies,64201 (EMTAK 2008),64.20,Electronic submission\n                                    (01.08.2018)\n                                    
956,Other research and experimental development on natural sciences and engineering,72191 (EMTAK 2008),72.19,Electronic submission\n                                    (06.06.2022)\n                                    
957,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (20.04.2022)\n                                    
958,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Annual report\n                                    (01.07.2019)\n                                    
959,Gambling and betting activities,92001 (EMTAK 2008),92.00,Electronic submission\n                                    (19.03.2021)\n                                    
960,"Water collection, treatment and supply",36001 (EMTAK 2008),36.00,Annual report\n                                    (01.07.2022)\n                                    
961,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (22.12.2021)\n                                    
962,Retail sale of games and toys in specialised stores,47651 (EMTAK 2008),47.65,Annual report\n                                    (25.10.2022)\n                                    
963,Artistic creation,90031 (EMTAK 2008),90.03,Electronic submission\n                                    (21.01.2020)\n                                    
964,"Trusts, funds and similar financial entities",64301 (EMTAK 2008),64.30,Electronic submission\n                                    (07.06.2022)\n                                    
965,Fund management activities,66301 (EMTAK 2008),66.30,Electronic submission\n                                    (03.09.2020)\n                                    
966,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report\n                                    (07.06.2022)\n                                    
968,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (11.11.2019)\n                                    
970,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (25.06.2021)\n                                    
971,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (15.03.2021)\n                                    
973,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (30.06.2022)\n                                    
974,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report\n                                    (06.06.2022)\n                                    
975,Web portals,63121 (EMTAK 2008),63.12,Annual report\n                                    (13.07.2022)\n                                    
976,"Data processing, hosting and related activities",63111 (EMTAK 2008),63.11,Electronic submission\n                                    (17.07.2018)\n                                    
977,Market research and public opinion polling,73201 (EMTAK 2008),73.20,Electronic submission\n                                    (31.05.2021)\n                                    
978,Specialised design activities,74101 (EMTAK 2008),74.10,Annual report\n                                    (01.07.2022)\n                                    
979,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (02.07.2018)\n                                    
980,Retail sale via stalls and markets of other goods,47891 (EMTAK 2008),47.89,Annual report\n                                    (12.06.2022)\n                                    
981,"Data processing, hosting and related activities",63111 (EMTAK 2008),63.11,Annual report\n                                    (03.10.2022)\n                                    
982,Visitor flats,55204 (EMTAK 2008),55.20,Annual report\n                                    (19.06.2022)\n                                    
983,Advertising agencies,73111 (EMTAK 2008),73.11,Electronic submission\n                                    (01.11.2022)\n                                    
984,Forwarding agencies services,52291 (EMTAK 2008),52.29,Annual report\n                                    (12.09.2018)\n                                    
986,"Other professional, scientific and technical activities n.e.c.",74901 (EMTAK 2008),74.90,Annual report\n                                    (30.06.2021)\n                                    
987,Activities of holding companies,64201 (EMTAK 2008),64.20,Recoding\n                                    (01.01.2008)\n                                    
988,Tour operator activities,79121 (EMTAK 2008),79.12,Annual report\n                                    (01.12.2021)\n                                    
990,Activities of holding companies,64201 (EMTAK 2008),64.20,Electronic submission\n                                    (23.10.2018)\n                                    
991,Artistic creation,90031 (EMTAK 2008),90.03,Electronic submission\n                                    (17.05.2022)\n                                    
992,Other electronical communications services,61901 (EMTAK 2008),61.90,Electronic submission\n                                    (26.11.2018)\n                                    
993,Organisation of conventions and trade shows,82301 (EMTAK 2008),82.30,Annual report\n                                    (03.07.2022)\n                                    
994,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report\n                                    (10.10.2022)\n                                    
995,Agents specialised in the sale of other particular products,46181 (EMTAK 2008),46.18,Annual report\n                                    (29.06.2017)\n                                    
996,Wholesale of electronic and telecommunications equipment and parts,46521 (EMTAK 2008),46.52,Electronic submission\n                                    (13.10.2022)\n                                    
997,Wholesale of medical appliances and surgical and orthopaedic instruments and devices,46462 (EMTAK 2008),46.46,Annual report\n                                    (25.05.2022)\n                                    
1000,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (30.06.2022)\n                                    
1001,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (13.05.2020)\n                                    
1002,Book publishing,58111 (EMTAK 2008),58.11,Annual report\n                                    (27.07.2021)\n                                    
1004,Other software publishing,58291 (EMTAK 2008),58.29,Electronic submission\n                                    (27.01.2020)\n                                    
1005,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (06.07.2022)\n                                    
1006,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (09.11.2022)\n                                    
1008,Development of building projects,41101 (EMTAK 2008),41.10,Annual report\n                                    (29.04.2022)\n                                    
1009,Other electronical communications services,61901 (EMTAK 2008),61.90,Annual report\n                                    (09.09.2022)\n                                    
1011,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (25.04.2022)\n                                    
1012,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (20.06.2022)\n                                    
1014,Other activities auxiliary to financial services that are not classified elsewhere,66199 (EMTAK 2008),66.19,Electronic submission\n                                    (08.04.2021)\n                                    
1015,Manufacture of other wearing apparel and accessories,14199 (EMTAK 2008),14.19,Annual report\n                                    (05.07.2021)\n                                    
1016,Computer facilities management activities,62031 (EMTAK 2008),62.03,Electronic submission\n                                    (30.09.2021)\n                                    
1017,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission\n                                    (08.12.2021)\n                                    
1020,Car washing and other services,45202 (EMTAK 2008),45.20,Annual report\n                                    (10.04.2019)\n                                    
1021,Other engineering-technical activities,71129 (EMTAK 2008),71.12,Annual report\n                                    (30.06.2022)\n                                    
1022,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission\n                                    (07.07.2022)\n                                    
1024,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (02.03.2022)\n                                    
1025,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (03.06.2019)\n                                    
1026,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (03.02.2022)\n                                    
1028,"Water collection, treatment and supply",36001 (EMTAK 2008),36.00,Annual report\n                                    (18.06.2013)\n                                    
1029,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (06.09.2022)\n                                    
1031,Wholesale of equipment used in food industry and commercial activities,46693 (EMTAK 2008),46.69,Electronic submission\n                                    (08.08.2022)\n                                    
1032,Other real estate management or related activities,68329 (EMTAK 2008),68.32,Annual report\n                                    (09.05.2020)\n                                    
1033,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission\n                                    (24.08.2020)\n                                    
1034,Other healthcare activities not classified elsewhere,86909 (EMTAK 2008),86.90,Annual report\n                                    (14.07.2022)\n                                    
1035,"Water collection, treatment and supply",36001 (EMTAK 2008),36.00,Electronic submission\n                                    (11.08.2019)\n                                    
1036,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission\n                                    (18.08.2017)\n                                    
1037,Landscape service activities,81301 (EMTAK 2008),81.30,Annual report\n                                    (30.06.2022)\n                                    
1038,"Other professional, scientific and technical activities n.e.c.",74901 (EMTAK 2008),74.90,Annual report\n                                    (30.06.2022)\n                                    
1039,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Electronic submission\n                                    (25.01.2017)\n                                    
1042,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report\n                                    (30.06.2022)\n                                    
1043,Other software publishing,58291 (EMTAK 2008),58.29,Electronic submission\n                                    (08.02.2022)\n                                    
1044,Advertising agencies,73111 (EMTAK 2008),73.11,Annual report\n                                    (01.08.2022)\n                                    
1045,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (28.02.2022)\n                                    
1049,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (14.06.2022)\n                                    
1050,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report\n                                    (06.07.2022)\n                                    
1051,Management of real estate on a fee or contract basis,6832 (EMTAK 2008),68.32,Annual report\n                                    (10.06.2021)\n                                    
1052,Wholesale of perfume and cosmetics,46451 (EMTAK 2008),46.45,Electronic submission\n                                    (02.02.2022)\n                                    
1053,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report\n                                    (23.03.2016)\n                                    
1054,Repair of consumer electronics,95211 (EMTAK 2008),95.21,Electronic submission\n                                    (27.08.2019)\n                                    
1056,Maintenance and repair of motor vehicles,4520 (EMTAK 2008),45.20,Electronic submission\n                                    (19.03.2022)\n                                    
1058,Pet care services,96091 (EMTAK 2008),96.09,Electronic submission\n                                    (04.01.2022)\n                                    
1059,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (15.07.2022)\n                                    
1060,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report\n                                    (22.06.2017)\n                                    
1061,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report\n                                    (22.06.2017)\n                                    
1062,Other engineering-technical activities,71129 (EMTAK 2008),71.12,Annual report\n                                    (30.06.2021)\n                                    
1063,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (13.03.2022)\n                                    
1064,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (23.03.2022)\n                                    
1066,Activity of institutions providing alternative care service,87901 (EMTAK 2008),87.90,Annual report\n                                    (08.07.2022)\n                                    
1067,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report\n                                    (04.02.2022)\n                                    
1069,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report\n                                    (28.06.2021)\n                                    
1070,Growing of other perennial crops,01291 (EMTAK 2008),01.29,Annual report\n                                    (15.01.2022)\n                                    
1074,Support services to forestry,02401 (EMTAK 2008),02.40,Annual report\n                                    (10.06.2022)\n                                    
1077,Temporary employment agency activities,78201 (EMTAK 2008),78.20,Electronic submission\n                                    (11.04.2016)\n                                    
1078,Manufacture of other metal structures and parts of structures,25119 (EMTAK 2008),25.11,Electronic submission\n                                    (22.08.2021)\n                                    
1080,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Electronic submission\n                                    (17.09.2021)\n                                    
1081,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report\n                                    (28.06.2022)\n                                    
1084,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Electronic submission\n                                    (22.04.2018)\n                                    
1085,"Trusts, funds and similar financial entities",64301 (EMTAK 2008),64.30,Annual report\n                                    (10.06.2010)\n                                    
1087,Language training,85591 (EMTAK 2008),85.59,Annual report\n                                    (27.06.2022)\n                                    
1088,Language training,85591 (EMTAK 2008),85.59,Electronic submission\n                                    (27.10.2022)\n                                    
1089,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Annual report\n                                    (02.08.2022)\n                                    
1090,Manufacture of other metal structures and parts of structures,25119 (EMTAK 2008),25.11,Annual report\n                                    (11.10.2022)\n                                    
1091,Retail sale of clothing in specialised stores,47711 (EMTAK 2008),47.71,Annual report\n                                    (09.07.2013)\n                                    
1095,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Annual report\n                                    (26.10.2022)\n                                    
1096,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Statistics Estonia\n                                    (01.11.2021)\n                                    
1098,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report\n                                    (01.06.2022)\n                                    
1100,Manufacture of other metal structures and parts of structures,25119 (EMTAK 2008),25.11,Annual report\n                                    (30.06.2022)\n                                    
1101,Travel agency activities,79111 (EMTAK 2008),79.11,Annual report\n                                    (27.06.2022)\n                                    
1103,Rental and leasing of cars and light motor vehicles,77111 (EMTAK 2008),77.11,Annual report\n                                    (30.06.2022)\n                                    
1104,"Accounting, bookkeeping and auditing activities; tax consultancy",6920 (EMTAK 2008),69.20,Annual report\n                                    (05.07.2022)\n                                    
